Product_Code,Week,Sales
P169,W2,22.0
P170,W2,32.0
P171,W2,13.0
P172,W2,44.0
P173,W2,42.0
P174,W2,30.0
P175,W2,48.0
P176,W2,41.0
P177,W2,37.0
P178,W2,40.0
P179,W2,35.0
P180,W2,34.0
P181,W2,31.0
P182,W2,34.0
P183,W2,42.0
P184,W2,38.0
P185,W2,36.0
P186,W2,37.0
P187,W2,47.0
P188,W2,36.0
P189,W2,46.0
P190,W2,51.0
P191,W2,42.0
P192,W2,30.0
P193,W2,32.0
P194,W2,31.0
P196,W2,39.0
P200,W2,21.0
P208,W2,36.0
P261,W2,17.0
P262,W2,33.0
P263,W2,20.0
P267,W2,14.0
P268,W2,18.0
P270,W2,23.0
P284,W2,17.0
P286,W2,13.0
P294,W2,19.0
P299,W2,12.0
P319,W2,11.0
P324,W2,15.0
P334,W2,15.0
P400,W2,19.0
P403,W2,12.0
P405,W2,16.0
P406,W2,17.0
P409,W2,38.0
P410,W2,16.0
P411,W2,12.0
P430,W2,14.0
P435,W2,17.0
P437,W2,13.0
P486,W2,25.0
P487,W2,15.0
P491,W2,27.0
P492,W2,14.0
P493,W2,12.0
P494,W2,12.0
P495,W2,27.0
P496,W2,13.0
P499,W2,12.0
P502,W2,19.0
P503,W2,15.0
P504,W2,11.0
P505,W2,16.0
P507,W2,11.0
P511,W2,30.0
P512,W2,16.0
P513,W2,25.0
P514,W2,13.0
P515,W2,15.0
P516,W2,15.0
P517,W2,11.0
P518,W2,14.0
P519,W2,16.0
P520,W2,11.0
P521,W2,14.0
P522,W2,16.0
P523,W2,12.0
P525,W2,15.0
P526,W2,15.0
P527,W2,11.0
P529,W2,15.0
P530,W2,22.0
P533,W2,21.0
P535,W2,11.0
P536,W2,13.0
P537,W2,17.0
P538,W2,13.0
P539,W2,14.0
P540,W2,21.0
P543,W2,16.0
P544,W2,14.0
P545,W2,15.0
P546,W2,13.0
P547,W2,11.0
P548,W2,39.0
P549,W2,40.0
P551,W2,12.0
P554,W2,32.0
P555,W2,17.0
P556,W2,26.0
P557,W2,35.0
P558,W2,15.0
P566,W2,22.0
P612,W2,13.0
P613,W2,12.0
P615,W2,19.0
P617,W2,40.0
P618,W2,49.0
P619,W2,31.0
P620,W2,37.0
P621,W2,29.0
P622,W2,39.0
P623,W2,36.0
P624,W2,13.0
P625,W2,11.0
P627,W2,12.0
P628,W2,13.0
P629,W2,11.0
P631,W2,13.0
P632,W2,14.0
P633,W2,16.0
P634,W2,13.0
P635,W2,11.0
P640,W2,15.0
P781,W2,15.0
P5,W3,11.0
P10,W3,29.0
P11,W3,14.0
P14,W3,11.0
P15,W3,42.0
P16,W3,43.0
P17,W3,28.0
P18,W3,38.0
P19,W3,36.0
P24,W3,33.0
P25,W3,32.0
P27,W3,39.0
P28,W3,41.0
P29,W3,17.0
P30,W3,34.0
P33,W3,17.0
P34,W3,55.0
P35,W3,27.0
P36,W3,45.0
P37,W3,42.0
P38,W3,52.0
P39,W3,39.0
P40,W3,51.0
P41,W3,43.0
P42,W3,27.0
P43,W3,43.0
P44,W3,36.0
P45,W3,34.0
P46,W3,38.0
P47,W3,28.0
P48,W3,33.0
P49,W3,38.0
P51,W3,27.0
P52,W3,48.0
P54,W3,40.0
P55,W3,42.0
P56,W3,36.0
P57,W3,43.0
P58,W3,41.0
P59,W3,11.0
P60,W3,27.0
P61,W3,47.0
P62,W3,22.0
P63,W3,44.0
P64,W3,42.0
P66,W3,34.0
P67,W3,44.0
P69,W3,39.0
P70,W3,31.0
P72,W3,41.0
P73,W3,46.0
P74,W3,15.0
P75,W3,27.0
P76,W3,45.0
P78,W3,39.0
P79,W3,41.0
P80,W3,40.0
P82,W3,13.0
P83,W3,38.0
P84,W3,39.0
P85,W3,38.0
P86,W3,32.0
P87,W3,39.0
P88,W3,30.0
P89,W3,31.0
P90,W3,39.0
P91,W3,13.0
P92,W3,40.0
P93,W3,13.0
P95,W3,13.0
P96,W3,44.0
P97,W3,40.0
P99,W3,21.0
P101,W3,47.0
P102,W3,32.0
P106,W3,16.0
P107,W3,24.0
P112,W3,51.0
P113,W3,37.0
P115,W3,13.0
P119,W3,33.0
P120,W3,30.0
P128,W3,39.0
P129,W3,47.0
P130,W3,41.0
P131,W3,35.0
P132,W3,41.0
P133,W3,38.0
P134,W3,35.0
P135,W3,37.0
P136,W3,52.0
P137,W3,41.0
P138,W3,35.0
P139,W3,38.0
P140,W3,46.0
P141,W3,34.0
P142,W3,43.0
P143,W3,42.0
P144,W3,12.0
P146,W3,13.0
P160,W3,13.0
P165,W3,16.0
P166,W3,11.0
P167,W3,41.0
P168,W3,59.0
P169,W3,43.0
P170,W3,43.0
P172,W3,40.0
P173,W3,47.0
P174,W3,43.0
P175,W3,28.0
P176,W3,26.0
P177,W3,48.0
P178,W3,36.0
P179,W3,36.0
P180,W3,43.0
P181,W3,38.0
P182,W3,28.0
P183,W3,50.0
P184,W3,30.0
P185,W3,40.0
P186,W3,36.0
P187,W3,36.0
P188,W3,52.0
P189,W3,30.0
P190,W3,45.0
P191,W3,35.0
P192,W3,35.0
P193,W3,45.0
P194,W3,23.0
P196,W3,32.0
P197,W3,16.0
P200,W3,17.0
P202,W3,11.0
P205,W3,13.0
P208,W3,33.0
P209,W3,11.0
P210,W3,14.0
P211,W3,12.0
P261,W3,19.0
P262,W3,23.0
P263,W3,21.0
P266,W3,15.0
P268,W3,14.0
P269,W3,12.0
P270,W3,19.0
P284,W3,22.0
P286,W3,15.0
P294,W3,13.0
P314,W3,14.0
P332,W3,12.0
P397,W3,13.0
P400,W3,16.0
P405,W3,22.0
P406,W3,15.0
P407,W3,19.0
P409,W3,43.0
P430,W3,12.0
P435,W3,17.0
P436,W3,12.0
P485,W3,11.0
P486,W3,11.0
P487,W3,12.0
P490,W3,12.0
P491,W3,23.0
P492,W3,13.0
P494,W3,15.0
P495,W3,14.0
P496,W3,11.0
P499,W3,18.0
P502,W3,15.0
P503,W3,13.0
P505,W3,24.0
P506,W3,11.0
P507,W3,22.0
P508,W3,12.0
P511,W3,33.0
P512,W3,16.0
P513,W3,21.0
P514,W3,11.0
P515,W3,14.0
P516,W3,21.0
P517,W3,11.0
P518,W3,12.0
P519,W3,16.0
P520,W3,16.0
P521,W3,11.0
P523,W3,16.0
P525,W3,15.0
P526,W3,18.0
P527,W3,14.0
P529,W3,11.0
P530,W3,14.0
P533,W3,37.0
P535,W3,15.0
P536,W3,13.0
P537,W3,20.0
P538,W3,14.0
P540,W3,23.0
P541,W3,14.0
P542,W3,13.0
P545,W3,14.0
P546,W3,11.0
P548,W3,36.0
P549,W3,32.0
P550,W3,11.0
P554,W3,28.0
P556,W3,15.0
P557,W3,34.0
P558,W3,13.0
P559,W3,19.0
P563,W3,11.0
P565,W3,11.0
P566,W3,24.0
P598,W3,15.0
P613,W3,17.0
P615,W3,20.0
P617,W3,46.0
P618,W3,31.0
P619,W3,41.0
P620,W3,29.0
P621,W3,38.0
P622,W3,40.0
P623,W3,36.0
P625,W3,15.0
P626,W3,13.0
P629,W3,12.0
P630,W3,12.0
P631,W3,14.0
P633,W3,16.0
P636,W3,14.0
P638,W3,18.0
P640,W3,11.0
P781,W3,15.0
P783,W3,16.0
P1,W4,13.0
P9,W4,11.0
P10,W4,20.0
P11,W4,17.0
P14,W4,13.0
P15,W4,29.0
P16,W4,29.0
P17,W4,40.0
P18,W4,39.0
P19,W4,31.0
P22,W4,17.0
P24,W4,40.0
P25,W4,20.0
P27,W4,34.0
P28,W4,31.0
P29,W4,17.0
P30,W4,35.0
P32,W4,13.0
P34,W4,42.0
P35,W4,49.0
P36,W4,38.0
P37,W4,38.0
P38,W4,61.0
P39,W4,53.0
P40,W4,37.0
P41,W4,44.0
P42,W4,32.0
P43,W4,54.0
P44,W4,50.0
P45,W4,37.0
P46,W4,40.0
P47,W4,33.0
P48,W4,43.0
P49,W4,37.0
P50,W4,12.0
P51,W4,14.0
P52,W4,28.0
P54,W4,29.0
P55,W4,29.0
P56,W4,45.0
P57,W4,51.0
P58,W4,24.0
P60,W4,51.0
P61,W4,45.0
P62,W4,19.0
P63,W4,30.0
P64,W4,31.0
P65,W4,11.0
P66,W4,50.0
P67,W4,47.0
P69,W4,41.0
P70,W4,37.0
P72,W4,39.0
P73,W4,34.0
P75,W4,40.0
P76,W4,28.0
P78,W4,44.0
P79,W4,37.0
P80,W4,29.0
P82,W4,14.0
P83,W4,36.0
P84,W4,28.0
P85,W4,33.0
P86,W4,36.0
P87,W4,37.0
P88,W4,33.0
P89,W4,37.0
P90,W4,47.0
P92,W4,31.0
P95,W4,17.0
P96,W4,36.0
P97,W4,33.0
P101,W4,40.0
P102,W4,36.0
P103,W4,14.0
P106,W4,16.0
P107,W4,16.0
P109,W4,13.0
P110,W4,15.0
P112,W4,39.0
P113,W4,32.0
P115,W4,14.0
P118,W4,16.0
P119,W4,28.0
P120,W4,31.0
P121,W4,11.0
P122,W4,11.0
P128,W4,41.0
P129,W4,26.0
P130,W4,39.0
P131,W4,49.0
P132,W4,43.0
P133,W4,40.0
P134,W4,36.0
P135,W4,42.0
P136,W4,38.0
P137,W4,40.0
P138,W4,34.0
P139,W4,47.0
P140,W4,34.0
P141,W4,31.0
P142,W4,34.0
P143,W4,31.0
P145,W4,12.0
P147,W4,15.0
P149,W4,13.0
P152,W4,13.0
P160,W4,14.0
P162,W4,11.0
P164,W4,14.0
P165,W4,12.0
P167,W4,32.0
P168,W4,27.0
P169,W4,29.0
P170,W4,30.0
P172,W4,31.0
P173,W4,37.0
P174,W4,48.0
P175,W4,30.0
P176,W4,28.0
P177,W4,34.0
P178,W4,45.0
P179,W4,39.0
P180,W4,43.0
P181,W4,37.0
P182,W4,26.0
P183,W4,18.0
P184,W4,32.0
P185,W4,40.0
P186,W4,41.0
P187,W4,36.0
P188,W4,42.0
P189,W4,39.0
P190,W4,51.0
P191,W4,44.0
P192,W4,36.0
P193,W4,35.0
P194,W4,37.0
P196,W4,45.0
P200,W4,26.0
P202,W4,11.0
P208,W4,33.0
P209,W4,16.0
P211,W4,14.0
P261,W4,16.0
P262,W4,38.0
P263,W4,12.0
P266,W4,17.0
P268,W4,18.0
P269,W4,15.0
P270,W4,29.0
P284,W4,23.0
P286,W4,16.0
P299,W4,15.0
P309,W4,14.0
P333,W4,11.0
P334,W4,16.0
P364,W4,11.0
P370,W4,11.0
P398,W4,14.0
P400,W4,22.0
P403,W4,12.0
P404,W4,11.0
P405,W4,18.0
P406,W4,14.0
P407,W4,16.0
P408,W4,13.0
P409,W4,35.0
P410,W4,18.0
P411,W4,23.0
P413,W4,12.0
P430,W4,15.0
P435,W4,14.0
P485,W4,12.0
P486,W4,23.0
P487,W4,14.0
P490,W4,13.0
P491,W4,19.0
P493,W4,11.0
P494,W4,16.0
P495,W4,19.0
P500,W4,13.0
P502,W4,14.0
P503,W4,22.0
P504,W4,13.0
P505,W4,19.0
P506,W4,16.0
P508,W4,11.0
P511,W4,20.0
P512,W4,27.0
P513,W4,25.0
P515,W4,12.0
P516,W4,20.0
P517,W4,20.0
P518,W4,11.0
P519,W4,23.0
P521,W4,14.0
P522,W4,19.0
P523,W4,18.0
P524,W4,11.0
P526,W4,15.0
P528,W4,13.0
P529,W4,13.0
P530,W4,15.0
P532,W4,12.0
P533,W4,20.0
P535,W4,19.0
P537,W4,19.0
P538,W4,11.0
P540,W4,20.0
P542,W4,11.0
P544,W4,12.0
P545,W4,13.0
P548,W4,47.0
P549,W4,33.0
P550,W4,11.0
P552,W4,11.0
P554,W4,22.0
P555,W4,11.0
P556,W4,13.0
P557,W4,33.0
P558,W4,16.0
P560,W4,11.0
P566,W4,20.0
P612,W4,13.0
P613,W4,23.0
P615,W4,19.0
P617,W4,39.0
P618,W4,34.0
P619,W4,41.0
P620,W4,34.0
P621,W4,36.0
P622,W4,40.0
P623,W4,35.0
P624,W4,12.0
P627,W4,11.0
P628,W4,11.0
P630,W4,26.0
P631,W4,12.0
P632,W4,11.0
P633,W4,11.0
P634,W4,11.0
P636,W4,18.0
P638,W4,21.0
P781,W4,16.0
P783,W4,18.0
P1,W5,12.0
P9,W5,15.0
P10,W5,16.0
P13,W5,11.0
P14,W5,12.0
P15,W5,44.0
P16,W5,32.0
P17,W5,47.0
P18,W5,33.0
P19,W5,28.0
P20,W5,11.0
P24,W5,48.0
P25,W5,33.0
P27,W5,30.0
P28,W5,31.0
P29,W5,11.0
P30,W5,36.0
P33,W5,18.0
P34,W5,23.0
P35,W5,48.0
P36,W5,40.0
P37,W5,37.0
P38,W5,50.0
P39,W5,39.0
P40,W5,38.0
P41,W5,38.0
P42,W5,42.0
P43,W5,33.0
P44,W5,28.0
P45,W5,23.0
P46,W5,40.0
P47,W5,29.0
P48,W5,28.0
P49,W5,35.0
P51,W5,18.0
P52,W5,40.0
P54,W5,52.0
P55,W5,24.0
P56,W5,25.0
P57,W5,39.0
P58,W5,29.0
P59,W5,11.0
P60,W5,28.0
P61,W5,50.0
P62,W5,19.0
P63,W5,36.0
P64,W5,36.0
P66,W5,40.0
P67,W5,37.0
P68,W5,19.0
P69,W5,31.0
P70,W5,30.0
P71,W5,14.0
P72,W5,38.0
P73,W5,29.0
P74,W5,12.0
P75,W5,22.0
P76,W5,35.0
P78,W5,34.0
P79,W5,23.0
P80,W5,36.0
P81,W5,13.0
P83,W5,45.0
P84,W5,44.0
P85,W5,37.0
P86,W5,26.0
P87,W5,42.0
P88,W5,41.0
P89,W5,37.0
P90,W5,31.0
P92,W5,44.0
P93,W5,11.0
P94,W5,11.0
P95,W5,12.0
P96,W5,38.0
P97,W5,29.0
P100,W5,15.0
P101,W5,36.0
P102,W5,27.0
P107,W5,23.0
P112,W5,33.0
P113,W5,25.0
P114,W5,12.0
P115,W5,13.0
P116,W5,12.0
P118,W5,15.0
P119,W5,41.0
P120,W5,42.0
P128,W5,37.0
P129,W5,33.0
P130,W5,46.0
P131,W5,38.0
P132,W5,37.0
P133,W5,42.0
P134,W5,35.0
P135,W5,33.0
P136,W5,28.0
P137,W5,47.0
P138,W5,34.0
P139,W5,31.0
P140,W5,38.0
P141,W5,35.0
P142,W5,30.0
P143,W5,35.0
P144,W5,21.0
P146,W5,12.0
P162,W5,11.0
P167,W5,45.0
P168,W5,39.0
P169,W5,25.0
P170,W5,27.0
P171,W5,12.0
P172,W5,40.0
P173,W5,40.0
P174,W5,44.0
P175,W5,34.0
P176,W5,36.0
P177,W5,40.0
P178,W5,37.0
P179,W5,42.0
P180,W5,34.0
P181,W5,36.0
P182,W5,35.0
P183,W5,32.0
P184,W5,32.0
P185,W5,50.0
P186,W5,33.0
P187,W5,27.0
P188,W5,49.0
P189,W5,51.0
P190,W5,46.0
P191,W5,39.0
P192,W5,43.0
P193,W5,44.0
P194,W5,42.0
P196,W5,35.0
P197,W5,11.0
P198,W5,12.0
P200,W5,14.0
P202,W5,11.0
P208,W5,30.0
P209,W5,12.0
P210,W5,11.0
P211,W5,14.0
P261,W5,23.0
P262,W5,34.0
P263,W5,24.0
P268,W5,24.0
P269,W5,11.0
P270,W5,21.0
P284,W5,24.0
P285,W5,12.0
P286,W5,23.0
P299,W5,14.0
P319,W5,12.0
P333,W5,13.0
P334,W5,16.0
P364,W5,18.0
P400,W5,20.0
P403,W5,18.0
P405,W5,18.0
P406,W5,18.0
P407,W5,26.0
P409,W5,39.0
P410,W5,16.0
P411,W5,14.0
P413,W5,11.0
P429,W5,11.0
P430,W5,12.0
P435,W5,13.0
P485,W5,12.0
P486,W5,19.0
P488,W5,14.0
P491,W5,30.0
P492,W5,16.0
P494,W5,19.0
P495,W5,12.0
P502,W5,11.0
P503,W5,23.0
P504,W5,12.0
P505,W5,15.0
P506,W5,19.0
P507,W5,15.0
P508,W5,17.0
P510,W5,11.0
P511,W5,27.0
P512,W5,18.0
P513,W5,17.0
P514,W5,19.0
P516,W5,19.0
P517,W5,16.0
P518,W5,18.0
P519,W5,30.0
P521,W5,12.0
P522,W5,11.0
P527,W5,16.0
P528,W5,22.0
P529,W5,14.0
P530,W5,20.0
P533,W5,28.0
P535,W5,15.0
P536,W5,21.0
P537,W5,20.0
P538,W5,11.0
P539,W5,16.0
P540,W5,21.0
P542,W5,13.0
P543,W5,15.0
P544,W5,13.0
P545,W5,22.0
P546,W5,13.0
P547,W5,17.0
P548,W5,40.0
P549,W5,30.0
P550,W5,19.0
P552,W5,15.0
P554,W5,21.0
P555,W5,12.0
P556,W5,11.0
P557,W5,27.0
P559,W5,13.0
P563,W5,15.0
